building,stress,controller,bill_inr,energy_charge,demand_charge,energy_kwh,peak_kw,peak_kva,billed_kva,peak_at,comfort_violation_pct,comfort_violation_pct_occupied,comfort_kelvin_hours,max_overshoot_k,load_factor,demand_target_kw,ceiling_breaches,worst_breach_kw,first_breach_at,wall_seconds,ev_shortfall_kwh,pct_of_oracle_savings,solve_ms_mean,solve_ms_p95,infeasible_solves
Fox_office_Gaylord,heatwave,Perfect foresight oracle,1142784.769234034,805402.6327862344,297112.00480848784,135249.96993580257,464.23750751326224,488.6710605402761,488.6710605402761,2017-06-26 08:30:00,0.7291666666666666,1.9886363636363635,1.2393569385204195,0.32713141181394434,0.4046359404965271,467.2414405359504,0,0.0,,0.4887558100017486,0.0,99.99999999999999,233.09974600124406,233.09974600124406,0.0
Fox_office_Gaylord,sensor_dropout,No control,1320301.7884132506,954406.7318798953,318174.71993936045,154250.1186220714,497.14799990525063,523.3136841107902,523.3136841107902,2017-06-20 12:00:00,0.0,0.0,0.0,0.0,0.4309305798370273,467.2414405359504,11,29.906559369300226,2017-06-19 14:00:00,0.3192864329976146,0.0,0.0,,,
Fox_office_Gaylord,sensor_dropout,Rule based schedule,1287527.834978188,920364.7086371093,321144.89090922324,153567.4545241352,501.7888920456612,528.198833732275,528.198833732275,2017-06-19 14:00:00,0.0,0.0,0.0,0.0,0.4250555057406742,467.2414405359504,31,34.54745150971081,2017-06-06 15:00:00,0.3340731299977051,0.0,15.529305524663139,,,
Fox_office_Gaylord,sensor_dropout,MPC on mean forecast,1157086.1940115115,815758.5953073171,300539.66893882875,135424.99771228633,469.59323271691994,494.3086660178105,494.3086660178105,2017-06-19 14:30:00,0.625,1.7045454545454544,1.9758998264300924,0.2923103766960189,0.4005387247856321,467.2414405359504,2,2.3517921809695395,2017-06-19 14:30:00,22.533655769999314,0.0,77.3365604755659,7.492657413232943,19.507544248335744,1.0
Fox_office_Gaylord,sensor_dropout,Ours: quantile + chance constrained,1153945.2306920155,815822.8375102597,297331.2513062428,135599.25559411995,464.58008016600434,489.0316633326362,489.0316633326362,2017-06-20 13:30:00,0.5555555555555556,1.5151515151515151,1.676515195676009,0.2982072445948738,0.4053817791089592,467.2414405359504,0,0.0,,21.95128487799957,0.0,78.82484534564905,7.2982192990897,18.512750799709462,1.0
Fox_office_Gaylord,sensor_dropout,MPC on perfect forecast (16 h),1151579.6802736549,815344.5427707424,295467.9103643753,135463.75594913005,461.6686099443363,485.96695783614354,485.96695783614354,2017-06-20 13:30:00,0.6597222222222222,1.7992424242424243,1.148164829010879,0.29425455063535466,0.4075306430462914,467.2414405359504,0,0.0,,21.55295918000047,0.0,79.9457157726332,7.158863979255633,18.240423547831597,1.0
Fox_office_Gaylord,sensor_dropout,Perfect foresight oracle,1109255.947483583,776557.0155392695,293871.08116735006,130516.99293375014,459.1735643239844,483.3405940252468,483.3405940252468,2017-06-07 09:30:00,0.7291666666666666,1.9886363636363635,1.2897276748211306,0.32713141181394434,0.3947823119211015,467.2414405359504,0,0.0,,0.5021488990023499,0.0,100.0,253.15544600016437,253.15544600016437,0.0
Fox_office_Gaylord,outage,No control,1317274.3499896207,951523.4571907241,318174.71993936045,153796.05961590272,497.14799990525063,523.3136841107902,523.3136841107902,2017-06-20 12:00:00,0.0,0.0,0.0,0.0,0.42966206923517875,467.2414405359504,11,29.906559369300226,2017-06-19 14:00:00,0.3085381540004164,0.0,0.0,,,
Fox_office_Gaylord,outage,Rule based schedule,1284528.3904685103,917508.0948183688,321144.89090922324,153124.80686808648,501.7888920456612,528.198833732275,528.198833732275,2017-06-19 14:00:00,0.0,0.0,0.0,0.0,0.42383031239557556,467.2414405359504,28,34.54745150971081,2017-06-06 15:00:00,0.33940687400172465,0.0,15.514373301195116,,,
Fox_office_Gaylord,outage,MPC on mean forecast,1153926.2565735779,812749.1310807136,300539.66893882875,134964.88424489653,469.59323271691994,494.3086660178105,494.3086660178105,2017-06-19 14:30:00,0.625,1.7045454545454544,1.974167174752833,0.29873414940692555,0.399177873653284,467.2414405359504,2,2.3517921809695395,2017-06-19 14:30:00,21.084254551002232,0.0,77.39102278133659,7.0325946173751515,19.069589502760202,1.0
Fox_office_Gaylord,outage,Ours: quantile + chance constrained,1145863.038650983,812916.9486393364,292300.24257967976,135141.8972627392,456.7191290307496,480.7569779271049,480.7569779271049,2017-06-20 14:00:00,0.5555555555555556,1.5151515151515151,1.6919969619419488,0.3053166779568315,0.4109682901390913,467.2414405359504,0,0.0,,19.94927205300337,0.0,81.2112123463844,6.6529648344587455,17.317503199228664,1.0
Fox_office_Gaylord,outage,MPC on perfect forecast (16 h),1140338.3243579052,812376.1341385482,287343.3835124296,135012.37734304293,448.9740367381712,472.60424919807497,472.60424919807497,2017-06-20 15:30:00,0.6597222222222222,1.7992424242424243,1.1479572550657897,0.29425455063535466,0.41765709241574905,467.2414405359504,0,0.0,,20.299254320998443,0.0,83.82871023555148,6.75138256945047,17.285337297289487,1.0
Fox_office_Gaylord,outage,Perfect foresight oracle,1106205.8209205936,773652.133098327,293871.08116735006,130073.76455624058,459.1735643239844,483.3405940252468,483.3405940252468,2017-06-07 09:30:00,0.7291666666666666,1.9886363636363635,1.289727674821112,0.32713141181394434,0.39344165336278586,467.2414405359504,0,0.0,,0.45149382400268223,0.0,100.0,210.00231899961364,210.00231899961364,0.0
