tag,id,arm,site,usage,country,tier,median_load,n_test,static_margin_pinball,static_margin_skill,static_margin_cov90,static_margin_pct,persistence_pinball,persistence_skill,persistence_cov90,persistence_pct,climatology_pinball,climatology_skill,climatology_cov90,climatology_pct,seasonal_naive_pinball,seasonal_naive_skill,seasonal_naive_cov90,seasonal_naive_pct,lightgbm_quantile_pinball,lightgbm_quantile_skill,lightgbm_quantile_cov90,lightgbm_quantile_pct,cdd_share,hvac_share,t_mean,p99_over_median,corr_temp
office/Robin_office_Wai,Robin_office_Wai,office,Robin,Office,GB,1,148.74990524716432,184320,10.005705517246962,0.2798107505477977,0.9590277777777778,6.726529002234578,8.952970625328954,0.3555843529565146,0.9262966579861112,6.018807615677206,22.438745993070818,-0.6150928695175806,0.9260416666666667,15.084880864822315,13.893161450073858,0.0,0.8572916666666667,9.339946420126347,20.321878812529725,-0.4627253045002,0.9304090711805556,13.661775971394865,0.04550438073621397,0.007872911618107614,11.434981684981684,,
office/Wolf_office_Nadia,Wolf_office_Nadia,office,Wolf,Office,IE,1,62.14601851851852,184320,4.5397335620953765,-0.09392148105833908,0.9010416666666666,7.304946753334823,6.200866832600215,-0.49419813664849777,0.899755859375,9.977898794518037,2.8410475809404137,0.3154041013664549,0.9059027777777777,4.571568136893318,4.149962900173885,0.0,0.9263888888888889,6.677761502834269,2.0196691287064223,0.5133283893642043,0.9124403211805555,3.249876946026065,0.003314352887088835,0.03130637948857274,9.627964872088583,,
demographic/Rat_education_Lonnie,Rat_education_Lonnie,demographic,Rat,Education,US,1,38.445087370986826,184320,6.413576924309517,-0.3650572321218024,0.909375,16.682435553910643,7.959678330807739,-0.6941274111251214,0.90087890625,20.704019356227636,3.794265633209136,0.19243351965238142,0.909375,9.86931203093724,4.698394157687039,0.0,0.8854166666666666,12.221052100489578,2.9639234291394607,0.369162456434144,0.9002821180555556,7.709498486863191,0.31493732379996525,0.2300677969747651,14.971987194145893,,
demographic/Rat_assembly_Viola,Rat_assembly_Viola,demographic,Rat,Entertainment/public assembly,US,1,38.1,184320,2.4710767789556694,0.41061836293362675,0.9409722222222222,6.4857658240306275,3.088148413764112,0.26343933012982734,0.9101182725694444,8.105376414079034,2.436675549617112,0.4188234713452008,0.9409722222222222,6.39547388350948,4.19265993975545,0.0,0.9524305555555556,11.0043567972584,2.0376858525396666,0.5139873298051163,0.9188042534722223,5.3482568308127725,0.31493732379996525,0.3062002872981671,14.971987194145893,,
demographic/Rat_health_Tanya,Rat_health_Tanya,demographic,Rat,Healthcare,US,1,44.55941750743388,184320,2.0415006961512265,0.2978414267923537,0.8958333333333334,4.5815246480963125,2.4461202918321723,0.1586756069957671,0.8994411892361112,5.4895697220999,1.9678858418744014,0.3231606937136692,0.8958333333333334,4.416318596503416,2.907463889282318,0.0,0.8708333333333333,6.524914489282235,1.7016400529624245,0.414733899452674,0.9021158854166667,3.81881125954696,0.31493732379996525,0.20682967822642973,14.971987194145893,,
demographic/Rat_lodging_Christine,Rat_lodging_Christine,demographic,Rat,Lodging/residential,US,1,45.453154749550684,184320,2.1458976784040877,0.21272634211553643,0.9152777777777777,4.721119337542353,2.924339051886947,-0.0728634107035413,0.9064778645833333,6.4337427577914275,1.984110188594314,0.2720819349680401,0.915625,4.365175969692022,2.725732859105784,0.0,0.9135416666666667,5.996795765056833,2.1018282029442115,0.22889427849736288,0.9005479600694445,4.6241635251181075,0.31493732379996525,0.2779885163182236,14.971987194145893,,
demographic/Rat_office_Jill,Rat_office_Jill,demographic,Rat,Office,US,1,404.5429951011977,184320,84.56065914120656,-0.7040076724055775,0.7892361111111111,20.90276192276014,99.52183466167392,-1.0054948903861152,0.9210557725694445,24.60105251279366,43.03658176145387,0.13275669489322584,0.7927083333333333,10.638320841691531,49.62457652660143,0.0,0.8288194444444444,12.26682383023038,34.038479011944005,0.3140802119752587,0.8239040798611111,8.414057201368466,0.31493732379996525,0.04521366220494343,14.971987194145893,,
demographic/Rat_public_Michelle,Rat_public_Michelle,demographic,Rat,Public services,US,1,46.39032202842719,184320,8.239430886599488,-1.1222493865720846,0.8854166666666666,17.761098708369616,11.949568210140722,-2.0778780904658807,0.8803765190972223,25.758752445861944,4.039974622957741,-0.040585664634099405,0.8857638888888889,8.708658285411587,3.8824046498644735,0.0,0.8840277777777777,8.368996980631872,3.680420541424831,0.05202551682671541,0.88740234375,7.933595587393277,0.31493732379996525,0.03188258913166361,14.971987194145893,,
demographic/Rat_retail_Jeffrey,Rat_retail_Jeffrey,demographic,Rat,Retail,US,1,57.06,184320,6.300934369657809,0.17967301977055794,0.9118055555555555,11.042646985029458,7.18462647237272,0.06462397600276859,0.8848904079861111,12.591353789647249,5.455079590650676,0.28979597231501464,0.8958333333333334,9.56025164852905,7.681003455348334,0.0,0.8545138888888889,13.461274895457999,4.733883772884856,0.3836894098011867,0.8974555121527777,8.296326275648187,0.31493732379996525,0.24595849726294466,14.971987194145893,,
demographic/Rat_warehouse_Eloisa,Rat_warehouse_Eloisa,demographic,Rat,Warehouse/storage,US,1,55.8568119266055,184320,1.1989054782488169,0.26675999605017253,0.9083333333333333,2.1463908105320253,1.7078998143055926,-0.04453644537225476,0.8924370659722223,3.0576392661824876,4.075949269034053,-1.4928145815892009,0.9378472222222223,7.297139110606155,1.6350791988851348,0.0,0.9020833333333333,2.9272691055722784,1.1888698672592664,0.27289768711516393,0.9424913194444444,2.1284241370979293,0.31493732379996525,0.06234466758696185,14.971987194145893,,
national/IN_Delhi,IN_Delhi,national,IN_Delhi,system demand,IN,2,2962.4804802,184320,244.55378837081216,-2.373203614632101,0.6760416666666667,8.255034590280307,148.67601114246062,-1.0507327305614833,0.8482530381944444,5.018632599814578,242.83853464634007,-2.349544606517995,0.5680555555555555,8.197135348886613,72.49897021039581,0.0,0.909375,2.4472387478989006,65.43653587058022,0.09741427111750744,0.7616102430555556,2.2088427690218078,0.8929708866867471,,24.33467807726288,1.611718936888204,0.5907997116842305
national/GB_UKM,GB_UKM,national,GB_UKM,system demand,GB,2,38485.67219129555,184128,1695.603234150682,-2.7550775814410136,0.8418491484184915,4.405803868313837,2222.4594953561636,-3.921851797984365,0.8800942822384428,5.7747711519998495,666.2807649334864,-0.475543283332029,0.7636426833507125,1.7312436732862408,451.54945467198394,0.0,0.8957247132429614,1.1732923682027114,378.93243162494036,0.16081743050668562,0.8216403806047967,0.9846065043152474,0.02383998320472399,,10.610740108780625,1.3961264022799225,-0.12564553998497582
national/IE,IE,national,IE,system demand,IE,2,3190.0,184128,128.54621471939237,-3.3118448672974425,0.9033715676051443,4.029661903429228,174.39991092843854,-4.849922243416127,0.8760373218630518,5.467081847286475,43.62067560459978,-0.4631748326803584,0.9210983663538408,1.3674192979498365,29.812346843536126,0.0,0.8988529718456726,0.9345563273835775,16.62390163489045,0.4423819861570266,0.9106979927007299,0.5211254431000142,0.0028164221315117003,,10.138373043907839,1.3722392188056367,-0.07234384758932588
national/DE,DE,national,DE,system demand,DE,2,55514.68104931193,184128,2401.1514515581484,-0.7856432922210745,0.9058046576294752,4.325254880641901,2764.731444247399,-1.0560236444100441,0.8853080465762948,4.980180723350595,791.5405644597323,0.4113619536446905,0.9210983663538408,1.4258220519300686,1344.6982731760907,0.0,0.8321167883211679,2.4222390325572403,386.4652951358636,0.7126007351648802,0.8372273635731665,0.6961497172118826,0.060753624430257135,,10.011388777573039,1.3224558743885442,-0.09915201304551095
national/FR,FR,national,FR,system demand,FR,2,53531.71825541687,184128,1698.2126808178466,-0.8016809860100116,0.883559263121307,3.1723485368340567,1857.6429908469022,-0.9708250286953464,0.7889131473757386,3.4701725470187528,926.0542293996004,0.017523355013520203,0.9266597149808828,1.7299168784030077,942.5712398612226,0.0,0.9064998262078554,1.7607715025397002,342.80906775828333,0.6363043415065835,0.8291514598540146,0.6403849510726186,0.07631794846766735,,11.371662298612291,1.579051609271597,-0.6399918505349292
national/ES,ES,national,ES,system demand,ES,2,28843.19067035504,184128,1504.8966349439656,-1.5321311878357653,0.6426833507125478,5.217510961749093,1337.6768430919512,-1.250768042793145,0.7820483576642335,4.637756128925126,1036.1283935361485,-0.7433842025786312,0.49982620785540494,3.592280775653155,594.3201687864419,0.0,0.8175182481751825,2.0605215822994323,226.5436403945476,0.6188188584325969,0.8132005995828988,0.7854319689651692,0.2827640331845868,,14.595356305387867,1.312783330730054,0.17068289943228426
